Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123190670,Misschien moet je iets lager mikken: een verhaal over armoede en kansenongelijkheid,Milio van de Kamp,"Kamp, Milio van de",,"=""9045045621""","=""9789045045627""",4,4.26,Atlas Contact,Paperback,216,2023,,2023/10/14,2023/10/14,2023,2023 (#24),read,,,,1,0
54870256,There Is No Antimemetics Division,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",0,4.22,,Kindle Edition,220,2020,2020,,2023/09/16,to-read,to-read (#34),to-read,,,,0,0
59318979,Verwilderd,Richard Powers,"Powers, Richard",Jelle Noorman,"=""9025471390""","=""9789025471392""",4,3.91,Atlas Contact,Paperback,304,2021,2021,2023/08/17,2023/08/05,2023,2023 (#19),read,,,,1,0
64405809,"The Big Con: How the Consulting Industry Weakens our Businesses, Infantilizes our Governments and Warps our Economies",Mariana Mazzucato,"Mazzucato, Mariana",Rosie Collington,"=""0593492676""","=""9780593492673""",0,3.62,Penguin Press,Hardcover,352,2023,2023,,2023/08/23,to-read,to-read (#33),to-read,,,,0,0
3417804,Blokken / Knorrende beesten / Bint,F. Bordewijk,"Bordewijk, F.",,"=""9038803427""","=""9789038803425""",3,3.41,Nijgh & Van Ditmar ,Paperback,155,2007,1949,2023/08/21,2023/08/18,2023,2023 (#21),read,,,,1,0
276767,The Word for World Is Forest,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",4,4.06,,ebook,160,1989,1972,2023/08/19,2021/07/22,2023,2023 (#20),read,,,,1,0
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",4,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,2023/08/15,2018/07/03,2023,2023 (#18),read,,,,1,0
49929823,Waarom de superrijken de wereld niet zullen veranderen,Anand Giridharadas,"Giridharadas, Anand",,"=""""","=""""",5,4.13,,Paperback,334,2019,2018,2023/08/12,2021/07/12,2023,2023 (#17),read,,,,1,0
57328903,Klara en de zon,Kazuo Ishiguro,"Ishiguro, Kazuo",Peter Bergsma,"=""9025470076""","=""9789025470074""",4,3.74,Atlas Contact,ebook,352,2021,2021,2023/08/08,2023/08/05,2023,2023 (#16),read,,,,1,0
124943816,Het Surinamedagboek,Merijn de Boer,"Boer, Merijn de",,"=""9021475618""","=""9789021475615""",3,3.52,Querido,Kindle Edition,280,2023,2023,2023/08/01,2023/08/01,2023,2023 (#15),read,,,,1,0
141894508,Waarachtige beschrijvingen uit de permafrost,Donald Niedekker,"Niedekker, Donald",,"=""9083295540""","=""9789083295541""",3,3.60,Koppernik,Kindle Edition,178,2023,2022,2023/08/01,2023/08/01,2023,2023 (#14),read,,,,1,0
254308,Oblomov,Ivan Goncharov,"Goncharov, Ivan","Galya Diment, Stephen Pearl","=""1933480092""","=""9781933480091""",5,4.13,Bunim & Bannigan Ltd,Paperback,586,2006,1859,2019/01/22,2018/12/04,2019,2019 (#1),read,,,,1,0
59693959,Lapvona,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""""","=""""",4,3.54,Penguin Press,Kindle Edition,313,2022,2022,2023/07/24,2023/04/22,2023,2023 (#13),read,,,,1,0
16251,News of a Kidnapping,Gabriel García Márquez,"Márquez, Gabriel García",Edith Grossman,"=""0140267832""","=""9780140267839""",3,3.91,Penguin,Paperback,291,1998,1996,2023/07/22,2023/06/25,2023,2023 (#12),read,,,,1,0
53288287,Het recht van de snelste,Thalia Verkade,"Verkade, Thalia",Marco te Brömmelstroet,"=""9083000710""","=""9789083000718""",3,4.18,De Correspondent,Paperback,264,2020,2020,2023/07/22,2023/07/02,2023,2023 (#11),read,,,,1,0
52745048,Mission Economy: A Moonshot Guide to Changing Capitalism,Mariana Mazzucato,"Mazzucato, Mariana",,"=""0241435315""","=""9780241435311""",4,3.85,Allen Lane,Paperback,272,2021,2020,2023/07/02,2023/06/25,2023,2023 (#10),read,,,,1,0
38344476,Polarisatie - inzicht in de dynamiek van wij-zij denken,Bart Brandsma,"Brandsma, Bart",,"=""9789082595""","=""""",3,4.09,BB In media,Hardcover,124,2016,2016,2023/04/27,2023/04/10,2023,2023 (#9),read,,,,1,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",0,3.70,Knopf,Hardcover,274,2010,2010,,2023/04/22,to-read,to-read (#32),to-read,,,,0,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",4,3.78,Scribner,Paperback,209,2020,2017,2023/04/08,2023/03/03,2023,2023 (#5),read,,,,1,0
62828665,Man zonder rijbewijs,Oek de Jong,"Jong, Oek de",,"=""902547392X""","=""9789025473921""",3,3.62,Atlas Contact,Paperback,224,2022,2022,2023/04/19,2023/04/16,2023,2023 (#8),read,,,,1,0
84282623,Avondmensen (Dutch Edition),Caroline van Keeken,"Keeken, Caroline van",,"=""9021340437""","=""9789021340432""",5,3.51,Alfabet uitgevers,Kindle Edition,158,2023,,2023/04/10,2023/04/05,2023,2023 (#7),read,,,,1,0
57535025,Het Grote Doorbraakboek,Els Westerveen,"Westerveen, Els","Marit Lüschen, Harry Kruiter","=""9083100006""","=""9789083100005""",4,3.80,Instituut voor Publieke Waarden,Paperback,124,2020,,2023/04/08,2023/02/26,2023,2023 (#6),read,,,,1,0
59641932,De Zwijger: Het leven van Willem van Oranje,René van Stipriaan,"Stipriaan, René van",,"=""""","=""9789021402758""",5,4.31,Querido Facto,Hardcover,944,2021,2021,2023/04/06,2022/12/30,2023,2023 (#4),read,,,,1,0
61994326,Tussentijds,Peter Zantingh,"Zantingh, Peter",,"=""9493248453""","=""9789493248458""",3,3.81,Das Mag,Paperback,175,2022,2022,2023/02/26,2023/01/06,2023,2023 (#2),read,,,,1,0
60725495,Nu is het aan ons,Eva Rovers,"Rovers, Eva",,"=""9493254097""","=""9789493254091""",3,3.94,De Correspondent,Paperback,192,2022,,2023/02/26,2023/02/26,2023,2023 (#3),read,,,,1,0
63105991,Rotterdam: een ode aan inefficiëntie,Arjen van Veelen,"Veelen, Arjen van",,"=""9493254186""","=""9789493254183""",4,4.21,De Correspondent,Paperback,368,2022,2022,2023/02/26,2022/12/23,2023,2023 (#1),read,,,,1,0
13497991,"The Hydrogen Sonata (Culture, #10)",Iain M. Banks,"Banks, Iain M.",,"=""0356501507""","=""9780356501505""",0,4.20,Orbit,Hardcover,517,2012,2012,,2023/01/06,to-read,to-read (#31),to-read,,,,0,0
7937744,"Surface Detail (Culture, #9)",Iain M. Banks,"Banks, Iain M.",,"=""0316123404""","=""9780316123402""",0,4.26,Orbit/Hachette Book Group ,Hardcover,627,2010,2010,,2023/01/06,to-read,to-read (#30),to-read,,,,0,0
10365343,Zone One,Colson Whitehead,"Whitehead, Colson",,"=""0385528078""","=""9780385528078""",3,3.25,Doubleday,Hardcover,259,2011,2011,2022/12/30,2022/01/02,2022,2022 (#30),read,,,,1,0
42816183,'t Hooge Nest,Roxane van Iperen,"Iperen, Roxane van",,"=""9048841798""","=""""",3,4.37,Lebowski,Kindle Edition,389,2018,2018,2022/12/24,2022/12/23,2022,2022 (#29),read,,,,1,0
58313754,De onmisbaren,Ron Meyer,"Meyer, Ron",,"=""9044648837""","=""9789044648836""",3,3.57,Prometheus,Paperback,160,2021,,2022/12/10,2022/12/10,2022,2022 (#28),read,,,,1,0
61282641,Wankel koninkrijk,Tim de Wit,"Wit, Tim de",,"=""9029544252""","=""9789029544252""",4,4.12,de Arbeiderspers,Paperback,296,2022,2022,2022/12/10,2022/11/30,2022,2022 (#27),read,,,,1,0
60810553,Eigen welzijn eerst,Roxane van Iperen,"Iperen, Roxane van",,"=""940040932X""","=""9789400409323""",4,3.87,Thomas Rap,Hardcover,144,2022,2022,2022/11/30,2022/11/29,2022,2022 (#26),read,,,,1,0
6585431,De stille kracht,Louis Couperus,"Couperus, Louis",F.L. Bastet,"=""""","=""""",5,3.58,Athenaeum - Polak & Van Gennep,Hardcover,249,2007,1900,2022/11/29,2022/11/09,2022,2022 (#25),read,,,,1,0
57818562,Maar dat mag je niet zeggen: De nieuwe generatie radicaal- en extreemrechts in Nederland,Nikki Sterkenburg,"Sterkenburg, Nikki",,"=""9493168816""","=""9789493168817""",4,3.73,Das Mag,Paperback,248,2021,2021,2022/11/09,2022/11/09,2022,2022 (#24),read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",3,4.07,Knopf,Hardcover,333,2014,2014,2022/11/25,2022/09/11,2022,2022 (#23),read,,,,1,0
32564819,"Karl Marx's Ecosocialism: Capital, Nature, and the Unfinished Critique of Political Economy",Kōhei Saitō,"Saitō, Kōhei",,"=""1583676414""","=""9781583676417""",0,4.01,Monthly Review Press,Hardcover,368,2017,2017,,2022/11/07,to-read,to-read (#29),to-read,,,,0,0
163977,Tortilla Flat,John Steinbeck,"Steinbeck, John",,"=""0582461502""","=""9780582461505""",4,3.83,Pearson Schools,Hardcover,256,2001,1935,2022/10/23,2018/12/21,2022,2022 (#22),read,,,,1,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1892295490""","=""9781892295491""",3,3.43,Green Integer,Paperback,188,2003,1899,2022/10/20,2022/10/07,2022,2022 (#21),read,,,,1,0
16150932,De omzwervingen van Baldassare,Amin Maalouf,"Maalouf, Amin",Maria Noordman,"=""9044502646""","=""9789044502640""",3,3.88,Uitgeverij De Geus,Hardcover,476,2003,2000,2022/10/19,2021/04/18,2022,2022 (#20),read,,,,1,0
61266541,Beledigende broccoli. Over de ervaringskennis van kwetsbare mensen,Tim 'S Jongers,"Jongers, Tim 'S",,"=""""","=""9789461645623""",4,3.96,Uitgeverij Van Gennep,Paperback,91,2022,2022,2022/10/01,2022/09/20,2022,2022 (#18),read,,,,1,0
40880530,Zoeklicht op het gazon,Auke Hulst,"Hulst, Auke",,"=""9026333498""","=""9789026333491""",4,3.56,Ambo|Anthos uitgevers,Hardcover,189,2018,2018,2022/10/01,2022/09/24,2022,2022 (#17),read,,,,1,0
59471892,Waanzin aan het einde van de aarde,Julian Sancton,"Sancton, Julian",Frans Reusink,"=""9048846862""","=""9789048846863""",5,4.27,Hollands Diep,Kindle Edition,473,2021,2021,2022/09/12,2022/09/10,2022,2022 (#16),read,,,,1,0
12016,"Look to Windward (Culture, #7)",Iain M. Banks,"Banks, Iain M.",,"=""0743421922""","=""9780743421928""",4,4.23,Pocket Books/Simon & Schuster (NY),Mass Market Paperback,496,2002,2000,2022/09/11,2022/05/23,2022,2022 (#15),read,,,,1,0
59829937,De opkomst van de meritocratie,Michael Young,"Young, Michael",Huub Stegeman,"=""9025314252""","=""9789025314255""",4,3.79,Athenaeum,Paperback,192,2022,1958,2022/09/10,2022/08/23,2022,2022 (#14),read,,,,1,0
