title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
De zomer hou je ook niet tegen,Dimitri Verhulst,4.0,3.25,2015,94,data/goodreads/clean/Thomas is een worstje_clean.csv
A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,4.0,4.15,1996,353,data/goodreads/clean/Thomas is een worstje_clean.csv
Pale Fire,Vladimir Nabokov,5.0,4.17,1962,246,data/goodreads/clean/Thomas is een worstje_clean.csv
Tirza,Arnon Grunberg,3.0,3.6,2006,430,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.0,3.82,2009,396,data/goodreads/clean/Thomas is een worstje_clean.csv
Nooit meer slapen,Willem Frederik Hermans,4.0,3.86,1966,251,data/goodreads/clean/Thomas is een worstje_clean.csv
De avonden,Gerard Reve,3.0,3.49,1947,191,data/goodreads/clean/Thomas is een worstje_clean.csv
De donkere kamer van Damokles,Willem Frederik Hermans,4.0,3.8,1958,335,data/goodreads/clean/Thomas is een worstje_clean.csv
Until I Find You,John Irving,2.0,3.66,2005,820,data/goodreads/clean/Thomas is een worstje_clean.csv
Life of Pi,Yann Martel,3.0,3.94,2001,460,data/goodreads/clean/Thomas is een worstje_clean.csv
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Spencer Johnson,4.0,3.86,1999,98,data/goodreads/clean/Thomas is een worstje_clean.csv
Consider the Lobster and Other Essays,David Foster Wallace,4.0,4.19,2005,343,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,3.0,4.23,1990,517,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,4.0,3.83,2003,608,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Thousandfold Thought (The Prince of Nothing, #3)",R. Scott Bakker,1.0,3.94,2006,560,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Warrior Prophet (The Prince of Nothing, #2)",R. Scott Bakker,2.0,3.98,2004,624,data/goodreads/clean/Thomas is een worstje_clean.csv
Watchmen,Alan Moore,4.0,4.38,1987,416,data/goodreads/clean/Thomas is een worstje_clean.csv
The House of the Spirits,Isabel Allende,3.0,4.28,1982,448,data/goodreads/clean/Thomas is een worstje_clean.csv
The Incredible Journey,Sheila Burnford,4.0,4.16,1960,145,data/goodreads/clean/Thomas is een worstje_clean.csv
Joe Speedboot,Tommy Wieringa,4.0,3.7,2005,315,data/goodreads/clean/Thomas is een worstje_clean.csv
Ouwehoeren: verhalen uit de peeskamer,Martine Fokkens,1.0,2.7,2011,160,data/goodreads/clean/Thomas is een worstje_clean.csv
De qualastofont,Herman Brusselmans,3.0,2.7,2013,176,data/goodreads/clean/Thomas is een worstje_clean.csv
"Consider Phlebas (Culture, #1)",Iain M. Banks,3.0,3.85,1987,467,data/goodreads/clean/Thomas is een worstje_clean.csv
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,5.0,4.27,1989,500,data/goodreads/clean/Thomas is een worstje_clean.csv
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,4.0,4.29,1979,777,data/goodreads/clean/Thomas is een worstje_clean.csv
One Past Midnight: The Langoliers,Stephen         King,2.0,3.93,1990,9,data/goodreads/clean/Thomas is een worstje_clean.csv
The Running Man,Richard Bachman,2.0,3.9,1982,317,data/goodreads/clean/Thomas is een worstje_clean.csv
Hearts in Atlantis,Stephen         King,3.0,3.86,1999,640,data/goodreads/clean/Thomas is een worstje_clean.csv
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,4.0,3.85,2003,272,data/goodreads/clean/Thomas is een worstje_clean.csv
The Tommyknockers,Stephen         King,2.0,3.6,1987,747,data/goodreads/clean/Thomas is een worstje_clean.csv
Lisey's Story,Stephen         King,2.0,3.7,2006,513,data/goodreads/clean/Thomas is een worstje_clean.csv
The Long Walk,Richard Bachman,4.0,4.08,1978,370,data/goodreads/clean/Thomas is een worstje_clean.csv
The Girl Who Loved Tom Gordon,Stephen         King,4.0,3.63,1999,264,data/goodreads/clean/Thomas is een worstje_clean.csv
The Mist,Stephen         King,4.0,3.94,1980,176,data/goodreads/clean/Thomas is een worstje_clean.csv
Nightmares and Dreamscapes,Stephen         King,3.0,3.95,1993,836,data/goodreads/clean/Thomas is een worstje_clean.csv
Everything's Eventual,Stephen         King,3.0,3.97,2002,605,data/goodreads/clean/Thomas is een worstje_clean.csv
Choke,Chuck Palahniuk,3.0,3.71,2001,293,data/goodreads/clean/Thomas is een worstje_clean.csv
American Psycho,Bret Easton Ellis,3.0,3.81,1991,399,data/goodreads/clean/Thomas is een worstje_clean.csv
The Bonfire of the Vanities,Tom Wolfe,4.0,3.9,1987,690,data/goodreads/clean/Thomas is een worstje_clean.csv
The World According to Garp,John Irving,5.0,4.1,1978,610,data/goodreads/clean/Thomas is een worstje_clean.csv
A Prayer for Owen Meany,John Irving,2.0,4.24,1989,637,data/goodreads/clean/Thomas is een worstje_clean.csv
"Moby-Dick or, The Whale",Herman Melville,3.0,3.55,1851,720,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,3.0,4.29,1937,366,data/goodreads/clean/Thomas is een worstje_clean.csv
Belgarath the Sorcerer,David Eddings,4.0,4.1,1995,736,data/goodreads/clean/Thomas is een worstje_clean.csv
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,1.0,3.66,2011,356,data/goodreads/clean/Thomas is een worstje_clean.csv
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.0,3.97,2005,326,data/goodreads/clean/Thomas is een worstje_clean.csv
Gerald's Game,Stephen         King,5.0,3.58,1992,332,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.0,4.1,1985,481,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,2.0,3.92,1988,448,data/goodreads/clean/Thomas is een worstje_clean.csv
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,5.0,3.96,2012,160,data/goodreads/clean/Thomas is een worstje_clean.csv
Pride and Prejudice,Jane Austen,2.0,4.29,1813,279,data/goodreads/clean/Thomas is een worstje_clean.csv
Accelerando,Charles Stross,4.0,3.87,2005,415,data/goodreads/clean/Thomas is een worstje_clean.csv
The Doors of Perception / Heaven and Hell,Aldous Huxley,5.0,3.91,1954,187,data/goodreads/clean/Thomas is een worstje_clean.csv
Do Androids Dream of Electric Sheep?,Philip K. Dick,3.0,4.09,1968,244,data/goodreads/clean/Thomas is een worstje_clean.csv
Starship Troopers,Robert A. Heinlein,4.0,4.01,1959,264,data/goodreads/clean/Thomas is een worstje_clean.csv
The Martian,Andy Weir,3.0,4.42,2011,384,data/goodreads/clean/Thomas is een worstje_clean.csv
Diaspora,Greg Egan,4.0,4.11,1997,443,data/goodreads/clean/Thomas is een worstje_clean.csv
Mindset: The New Psychology of Success,Carol S. Dweck,4.0,4.1,2006,276,data/goodreads/clean/Thomas is een worstje_clean.csv
The Gifts of Imperfection,Brené Brown,4.0,4.25,2010,137,data/goodreads/clean/Thomas is een worstje_clean.csv
"Foundation and Empire (Foundation, #2)",Isaac Asimov,2.0,4.22,1952,256,data/goodreads/clean/Thomas is een worstje_clean.csv
"Foundation (Foundation, #1)",Isaac Asimov,3.0,4.17,1951,244,data/goodreads/clean/Thomas is een worstje_clean.csv
Komt een vrouw bij de dokter,Kluun,3.0,3.72,2003,316,data/goodreads/clean/Thomas is een worstje_clean.csv
Turks Fruit,Jan Wolkers,4.0,3.6,1969,189,data/goodreads/clean/Thomas is een worstje_clean.csv
Taal is zeg maar echt mijn ding,Paulien Cornelisse,4.0,3.65,2009,230,data/goodreads/clean/Thomas is een worstje_clean.csv
Een schitterend gebrek,Arthur Japin,2.0,3.96,2003,239,data/goodreads/clean/Thomas is een worstje_clean.csv
"John Dies at the End (John Dies at the End, #1)",David  Wong,2.0,3.87,2007,362,data/goodreads/clean/Thomas is een worstje_clean.csv
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,3.0,3.81,1999,564,data/goodreads/clean/Thomas is een worstje_clean.csv
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.0,3.9,2004,288,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,2.0,4.04,1988,307,data/goodreads/clean/Thomas is een worstje_clean.csv
"#1)""",Terry Pratchett,4.0,4.24,1987,243,data/goodreads/clean/Thomas is een worstje_clean.csv
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.0,4.0,2002,301,data/goodreads/clean/Thomas is een worstje_clean.csv
Philosophical Investigations,Ludwig Wittgenstein,5.0,4.26,1953,246,data/goodreads/clean/Thomas is een worstje_clean.csv
The Tao of Pooh,Benjamin Hoff,5.0,4.01,1982,176,data/goodreads/clean/Thomas is een worstje_clean.csv
The Fountainhead,Ayn Rand,2.0,3.89,1943,704,data/goodreads/clean/Thomas is een worstje_clean.csv
The Egg,Andy Weir,5.0,4.21,2009,3,data/goodreads/clean/Thomas is een worstje_clean.csv
Siddhartha,Hermann Hesse,5.0,4.07,1922,152,data/goodreads/clean/Thomas is een worstje_clean.csv
The Republic,Plato,4.0,3.96,-400,416,data/goodreads/clean/Thomas is een worstje_clean.csv
A Brief History of Time,Stephen Hawking,4.0,4.21,1988,226,data/goodreads/clean/Thomas is een worstje_clean.csv
The God Delusion,Richard Dawkins,4.0,3.9,2006,374,data/goodreads/clean/Thomas is een worstje_clean.csv
A Short History of Nearly Everything,Bill Bryson,3.0,4.22,2003,544,data/goodreads/clean/Thomas is een worstje_clean.csv
Four Past Midnight,Stephen         King,3.0,3.95,1990,930,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Gunslinger (The Dark Tower, #1)",Stephen         King,5.0,3.92,1982,231,data/goodreads/clean/Thomas is een worstje_clean.csv
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.0,3.83,1886,139,data/goodreads/clean/Thomas is een worstje_clean.csv
"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,3.0,4.04,1967,308,data/goodreads/clean/Thomas is een worstje_clean.csv
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,3.0,4.06,1981,454,data/goodreads/clean/Thomas is een worstje_clean.csv
Insomnia,Stephen         King,2.0,3.83,1994,896,data/goodreads/clean/Thomas is een worstje_clean.csv
Desperation,Stephen         King,2.0,3.86,1996,547,data/goodreads/clean/Thomas is een worstje_clean.csv
Dreamcatcher,Stephen         King,3.0,3.66,2001,688,data/goodreads/clean/Thomas is een worstje_clean.csv
Skeleton Crew,Stephen         King,2.0,3.97,1985,612,data/goodreads/clean/Thomas is een worstje_clean.csv
The Dark Half,Stephen         King,2.0,3.81,1989,469,data/goodreads/clean/Thomas is een worstje_clean.csv
Thinner,Richard Bachman,2.0,3.77,1984,320,data/goodreads/clean/Thomas is een worstje_clean.csv
The Wasp Factory,Iain Banks,4.0,3.77,1984,184,data/goodreads/clean/Thomas is een worstje_clean.csv
Christine,Stephen         King,2.0,3.85,1983,411,data/goodreads/clean/Thomas is een worstje_clean.csv
Needful Things,Stephen         King,1.0,3.97,1991,790,data/goodreads/clean/Thomas is een worstje_clean.csv
World War Z: An Oral History of the Zombie War,Max Brooks,5.0,4.02,2006,342,data/goodreads/clean/Thomas is een worstje_clean.csv
Carrie,Stephen         King,3.0,3.99,1974,272,data/goodreads/clean/Thomas is een worstje_clean.csv
It,Stephen         King,4.0,4.24,1986,1116,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,3.0,4.11,1984,432,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Shining (The Shining, #1)",Stephen         King,4.0,4.27,1977,497,data/goodreads/clean/Thomas is een worstje_clean.csv
The Old Man and the Sea,Ernest Hemingway,5.0,3.8,1952,96,data/goodreads/clean/Thomas is een worstje_clean.csv
The Road,Cormac McCarthy,5.0,3.99,2006,241,data/goodreads/clean/Thomas is een worstje_clean.csv
"Second Foundation (Foundation, #3)",Isaac Asimov,2.0,4.27,1953,256,data/goodreads/clean/Thomas is een worstje_clean.csv
"Dune (Dune, #1)",Frank Herbert,5.0,4.28,1965,604,data/goodreads/clean/Thomas is een worstje_clean.csv
The Alchemist,Paulo Coelho,2.0,3.91,1988,197,data/goodreads/clean/Thomas is een worstje_clean.csv
"Use of Weapons (Culture, #3)",Iain M. Banks,3.0,4.16,1990,411,data/goodreads/clean/Thomas is een worstje_clean.csv
"Neuromancer (Sprawl, #1)",William Gibson,3.0,3.89,1984,271,data/goodreads/clean/Thomas is een worstje_clean.csv
Brave New World,Aldous Huxley,5.0,3.99,1932,268,data/goodreads/clean/Thomas is een worstje_clean.csv
Jonathan Strange & Mr Norrell,Susanna Clarke,4.0,3.86,2004,1006,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,2.0,4.19,1990,800,data/goodreads/clean/Thomas is een worstje_clean.csv
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,1.0,3.66,2005,498,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,2.0,4.26,1990,705,data/goodreads/clean/Thomas is een worstje_clean.csv
The Kite Runner,Khaled Hosseini,4.0,4.35,2003,371,data/goodreads/clean/Thomas is een worstje_clean.csv
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2.0,3.89,2003,226,data/goodreads/clean/Thomas is een worstje_clean.csv
The Fault in Our Stars,John Green,5.0,4.13,2012,313,data/goodreads/clean/Thomas is een worstje_clean.csv
The Picture of Dorian Gray,Oscar Wilde,4.0,4.13,1890,272,data/goodreads/clean/Thomas is een worstje_clean.csv
The Little Prince,Antoine de Saint-Exupéry,5.0,4.33,1943,96,data/goodreads/clean/Thomas is een worstje_clean.csv
Frankenstein,Mary Wollstonecraft Shelley,5.0,3.88,1818,273,data/goodreads/clean/Thomas is een worstje_clean.csv
Lolita,Vladimir Nabokov,5.0,3.88,1955,368,data/goodreads/clean/Thomas is een worstje_clean.csv
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.0,4.2,1962,325,data/goodreads/clean/Thomas is een worstje_clean.csv
The Catcher in the Rye,J.D. Salinger,3.0,3.8,1951,277,data/goodreads/clean/Thomas is een worstje_clean.csv
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,5.0,4.16,1985,351,data/goodreads/clean/Thomas is een worstje_clean.csv
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,2.0,3.89,1869,269,data/goodreads/clean/Thomas is een worstje_clean.csv
The War of the Worlds,H.G. Wells,4.0,3.83,1898,192,data/goodreads/clean/Thomas is een worstje_clean.csv
1984,George Orwell,5.0,4.19,1949,328,data/goodreads/clean/Thomas is een worstje_clean.csv
The Great Gatsby,F. Scott Fitzgerald,2.0,3.93,1925,180,data/goodreads/clean/Thomas is een worstje_clean.csv
A Beautiful Mind,Sylvia Nasar,4.0,4.13,1998,461,data/goodreads/clean/Thomas is een worstje_clean.csv
The Diary of a Young Girl,Anne Frank,4.0,4.19,1947,283,data/goodreads/clean/Thomas is een worstje_clean.csv
A Different Kind of Power,Jacinda Ardern,4.0,4.5,2025,352,data/goodreads/clean/dion_goodreads_library_export.csv
I Who Have Never Known Men,Jacqueline Harpman,5.0,4.14,1995,184,data/goodreads/clean/dion_goodreads_library_export.csv
All You Need Is Kill (All You Need Is Kill: Official Graphic Novel Adaptation),Nick Mamatas,2.0,3.17,,96,data/goodreads/clean/dion_goodreads_library_export.csv
Van der Laan,Kemal Rijken,3.0,3.79,,417,data/goodreads/clean/dion_goodreads_library_export.csv
Neuromancer (Sprawl #1),William Gibson,4.0,3.89,1984,271,data/goodreads/clean/dion_goodreads_library_export.csv
Lord of Light,Roger Zelazny,4.0,4.05,1967,296,data/goodreads/clean/dion_goodreads_library_export.csv
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.0,4.07,1998,397,data/goodreads/clean/dion_goodreads_library_export.csv
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,3.0,4.19,1995,435,data/goodreads/clean/dion_goodreads_library_export.csv
The Shadow over Innsmouth,H.P. Lovecraft,4.0,4.1,1936,158,data/goodreads/clean/dion_goodreads_library_export.csv
De mens is een plofkip,Teun van de Keuken,4.0,3.7,2024,94,data/goodreads/clean/dion_goodreads_library_export.csv
Dark Matter,Blake Crouch,2.0,4.14,2016,342,data/goodreads/clean/dion_goodreads_library_export.csv
"Mickey7 (Mickey7, #1)",Edward Ashton,4.0,3.79,2022,296,data/goodreads/clean/dion_goodreads_library_export.csv
Op een andere planeet kunnen ze me redden,Lieke Marsman,4.0,4.16,2025,198,data/goodreads/clean/dion_goodreads_library_export.csv
"Pines (Wayward Pines, #1)",Blake Crouch,3.0,3.93,2012,307,data/goodreads/clean/dion_goodreads_library_export.csv
Waardenloze politiek (Dutch Edition),Tom van der Meer,4.0,3.87,,194,data/goodreads/clean/dion_goodreads_library_export.csv
We waren gewaarschuwd,Jaap Tielbeke,3.0,3.85,,184,data/goodreads/clean/dion_goodreads_library_export.csv
The Vegetarian,Han Kang,3.0,3.64,2007,188,data/goodreads/clean/dion_goodreads_library_export.csv
Komt een land bij de dokter: Nederland door de ogen van een straatarts,Michelle van Tongerloo,4.0,4.35,2024,284,data/goodreads/clean/dion_goodreads_library_export.csv
The Pearl,John Steinbeck,4.0,3.55,1947,96,data/goodreads/clean/dion_goodreads_library_export.csv
De domheid regeert: Hoe opzettelijke onwetendheid een politieke strategie werd,Sander Schimmelpenninck,4.0,3.76,2024,184,data/goodreads/clean/dion_goodreads_library_export.csv
De Mitsukoshi Troostbaby Company,Auke Hulst,4.0,4.07,2021,608,data/goodreads/clean/dion_goodreads_library_export.csv
Strangers in Their Own Land: Anger and Mourning on the American Right,Arlie Russell Hochschild,5.0,4.12,2016,242,data/goodreads/clean/dion_goodreads_library_export.csv
Pluche,Femke Halsema,4.0,3.89,2014,392,data/goodreads/clean/dion_goodreads_library_export.csv
Gekaapt door het kapitaal (Dutch Edition),Mirjam de Rijk,4.0,3.83,,164,data/goodreads/clean/dion_goodreads_library_export.csv
"Jagen, verzamelen, opvoeden: wat we van oude culturen kunnen leren over het opvoeden van blije en behulpzame kinderen",Michaeleen Doucleff,1.0,4.15,2021,354,data/goodreads/clean/dion_goodreads_library_export.csv
De stad - Het verhaal van Amsterdam van 1980 tot vandaag,Marcel van Engelen,4.0,4.35,,489,data/goodreads/clean/dion_goodreads_library_export.csv
In onze tijd: Leven in het Calamiteitperk,Tim Fransen,4.0,4.22,2024,368,data/goodreads/clean/dion_goodreads_library_export.csv
"Blindsight (Firefall, #1)",Peter Watts,4.0,4.01,2006,384,data/goodreads/clean/dion_goodreads_library_export.csv
"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,3.0,3.95,2009,554,data/goodreads/clean/dion_goodreads_library_export.csv
"Inversions (Culture, #6)",Iain M. Banks,4.0,3.96,1998,343,data/goodreads/clean/dion_goodreads_library_export.csv
"The State of the Art (Culture, #4)",Iain M. Banks,4.0,3.83,1991,188,data/goodreads/clean/dion_goodreads_library_export.csv
Armoede uitgelegd aan mensen met geld,Tim 'S Jongers,4.0,4.04,2024,186,data/goodreads/clean/dion_goodreads_library_export.csv
Concept M,Aafke Romeijn,3.0,3.44,2018,253,data/goodreads/clean/dion_goodreads_library_export.csv
De net-niet elite: Hoogopgeleiden tussen macht en meritocratie,Dylan van Rijsbergen,4.0,3.98,2024,201,data/goodreads/clean/dion_goodreads_library_export.csv
Plan van de Arbeid (Dutch Edition),Michiel Zonneveld,3.0,3.83,,136,data/goodreads/clean/dion_goodreads_library_export.csv
Ik kom hier nog op terug,Rob van Essen,4.0,3.68,2023,398,data/goodreads/clean/dion_goodreads_library_export.csv
His Master's Voice,Stanisław Lem,4.0,4.07,1968,199,data/goodreads/clean/dion_goodreads_library_export.csv
"Love People, Use Things: Because the Opposite Never Works",Joshua Fields Millburn,3.0,3.78,2021,336,data/goodreads/clean/dion_goodreads_library_export.csv
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.0,4.2,1962,325,data/goodreads/clean/dion_goodreads_library_export.csv
Hoe migratie echt werkt,Hein de Haas,5.0,4.38,2023,520,data/goodreads/clean/dion_goodreads_library_export.csv
Weg ermee,Dennis Storm,4.0,3.67,2018,112,data/goodreads/clean/dion_goodreads_library_export.csv
Fokking druk: Het ultieme anti-stressboek,Thijs Launspach,4.0,3.64,2018,240,data/goodreads/clean/dion_goodreads_library_export.csv
Neoliberalisme: Een Nederlandse Geschiedenis,Bram Mellink,4.0,4.16,,336,data/goodreads/clean/dion_goodreads_library_export.csv
No Country for Old Men,Cormac McCarthy,5.0,4.17,2005,309,data/goodreads/clean/dion_goodreads_library_export.csv
We hebben het over je gehad,Stéphanie Hoogenberk,3.0,3.33,,224,data/goodreads/clean/dion_goodreads_library_export.csv
Krakatiet,Karel Čapek,4.0,3.69,1922,368,data/goodreads/clean/dion_goodreads_library_export.csv
Onder de paramariboom,Johan Fretz,4.0,3.93,2017,240,data/goodreads/clean/dion_goodreads_library_export.csv
Poverty Safari,Darren McGarvey,4.0,4.02,2017,224,data/goodreads/clean/dion_goodreads_library_export.csv
Roadside Picnic,Arkady Strugatsky,4.0,4.13,1972,145,data/goodreads/clean/dion_goodreads_library_export.csv
Oorlog met de salamanders,Karel Čapek,5.0,4.17,1936,286,data/goodreads/clean/dion_goodreads_library_export.csv
In schaamte kun je niet wonen,Cody Hochstenbach,4.0,4.12,,100,data/goodreads/clean/dion_goodreads_library_export.csv
Misschien moet je iets lager mikken: een verhaal over armoede en kansenongelijkheid,Milio van de Kamp,4.0,4.26,,216,data/goodreads/clean/dion_goodreads_library_export.csv
Verwilderd,Richard Powers,4.0,3.91,2021,304,data/goodreads/clean/dion_goodreads_library_export.csv
Blokken / Knorrende beesten / Bint,F. Bordewijk,3.0,3.41,1949,155,data/goodreads/clean/dion_goodreads_library_export.csv
The Word for World Is Forest,Ursula K. Le Guin,4.0,4.06,1972,160,data/goodreads/clean/dion_goodreads_library_export.csv
Galápagos,Kurt Vonnegut Jr.,4.0,3.87,1985,324,data/goodreads/clean/dion_goodreads_library_export.csv
Waarom de superrijken de wereld niet zullen veranderen,Anand Giridharadas,5.0,4.13,2018,334,data/goodreads/clean/dion_goodreads_library_export.csv
Klara en de zon,Kazuo Ishiguro,4.0,3.74,2021,352,data/goodreads/clean/dion_goodreads_library_export.csv
Het Surinamedagboek,Merijn de Boer,3.0,3.52,2023,280,data/goodreads/clean/dion_goodreads_library_export.csv
Waarachtige beschrijvingen uit de permafrost,Donald Niedekker,3.0,3.6,2022,178,data/goodreads/clean/dion_goodreads_library_export.csv
Oblomov,Ivan Goncharov,5.0,4.13,1859,586,data/goodreads/clean/dion_goodreads_library_export.csv
Lapvona,Ottessa Moshfegh,4.0,3.54,2022,313,data/goodreads/clean/dion_goodreads_library_export.csv
News of a Kidnapping,Gabriel García Márquez,3.0,3.91,1996,291,data/goodreads/clean/dion_goodreads_library_export.csv
Het recht van de snelste,Thalia Verkade,3.0,4.18,2020,264,data/goodreads/clean/dion_goodreads_library_export.csv
Mission Economy: A Moonshot Guide to Changing Capitalism,Mariana Mazzucato,4.0,3.85,2020,272,data/goodreads/clean/dion_goodreads_library_export.csv
Polarisatie - inzicht in de dynamiek van wij-zij denken,Bart Brandsma,3.0,4.09,2016,124,data/goodreads/clean/dion_goodreads_library_export.csv
Tender Is the Flesh,Agustina Bazterrica,4.0,3.78,2017,209,data/goodreads/clean/dion_goodreads_library_export.csv
Man zonder rijbewijs,Oek de Jong,3.0,3.62,2022,224,data/goodreads/clean/dion_goodreads_library_export.csv
Avondmensen (Dutch Edition),Caroline van Keeken,5.0,3.51,,158,data/goodreads/clean/dion_goodreads_library_export.csv
Het Grote Doorbraakboek,Els Westerveen,4.0,3.8,,124,data/goodreads/clean/dion_goodreads_library_export.csv
De Zwijger: Het leven van Willem van Oranje,René van Stipriaan,5.0,4.31,2021,944,data/goodreads/clean/dion_goodreads_library_export.csv
Tussentijds,Peter Zantingh,3.0,3.81,2022,175,data/goodreads/clean/dion_goodreads_library_export.csv
Nu is het aan ons,Eva Rovers,3.0,3.94,,192,data/goodreads/clean/dion_goodreads_library_export.csv
Rotterdam: een ode aan inefficiëntie,Arjen van Veelen,4.0,4.21,2022,368,data/goodreads/clean/dion_goodreads_library_export.csv
Zone One,Colson Whitehead,3.0,3.25,2011,259,data/goodreads/clean/dion_goodreads_library_export.csv
't Hooge Nest,Roxane van Iperen,3.0,4.37,2018,389,data/goodreads/clean/dion_goodreads_library_export.csv
De onmisbaren,Ron Meyer,3.0,3.57,,160,data/goodreads/clean/dion_goodreads_library_export.csv
Wankel koninkrijk,Tim de Wit,4.0,4.12,2022,296,data/goodreads/clean/dion_goodreads_library_export.csv
Eigen welzijn eerst,Roxane van Iperen,4.0,3.87,2022,144,data/goodreads/clean/dion_goodreads_library_export.csv
De stille kracht,Louis Couperus,5.0,3.58,1900,249,data/goodreads/clean/dion_goodreads_library_export.csv
Maar dat mag je niet zeggen: De nieuwe generatie radicaal- en extreemrechts in Nederland,Nikki Sterkenburg,4.0,3.73,2021,248,data/goodreads/clean/dion_goodreads_library_export.csv
Station Eleven,Emily St. John Mandel,3.0,4.07,2014,333,data/goodreads/clean/dion_goodreads_library_export.csv
Tortilla Flat,John Steinbeck,4.0,3.83,1935,256,data/goodreads/clean/dion_goodreads_library_export.csv
Heart of Darkness,Joseph Conrad,3.0,3.43,1899,188,data/goodreads/clean/dion_goodreads_library_export.csv
De omzwervingen van Baldassare,Amin Maalouf,3.0,3.88,2000,476,data/goodreads/clean/dion_goodreads_library_export.csv
Beledigende broccoli. Over de ervaringskennis van kwetsbare mensen,Tim 'S Jongers,4.0,3.96,2022,91,data/goodreads/clean/dion_goodreads_library_export.csv
Zoeklicht op het gazon,Auke Hulst,4.0,3.56,2018,189,data/goodreads/clean/dion_goodreads_library_export.csv
Waanzin aan het einde van de aarde,Julian Sancton,5.0,4.27,2021,473,data/goodreads/clean/dion_goodreads_library_export.csv
"Look to Windward (Culture, #7)",Iain M. Banks,4.0,4.23,2000,496,data/goodreads/clean/dion_goodreads_library_export.csv
De opkomst van de meritocratie,Michael Young,4.0,3.79,1958,192,data/goodreads/clean/dion_goodreads_library_export.csv
Norse Mythology,Neil Gaiman,4.0,4.1,2017,301,data/goodreads/clean/dion_goodreads_library_export.csv
Dracula,Bram Stoker,4.0,4.02,1897,488,data/goodreads/clean/dion_goodreads_library_export.csv
The Nickel Boys,Colson Whitehead,4.0,4.26,2019,213,data/goodreads/clean/dion_goodreads_library_export.csv
Mama Tandoori,Ernest van der Kwast,3.0,3.29,2010,214,data/goodreads/clean/dion_goodreads_library_export.csv
De gouden bril,Giorgio Bassani,5.0,3.8,1958,104,data/goodreads/clean/dion_goodreads_library_export.csv
Rusteloos,Casper Luckerhof,5.0,3.32,,256,data/goodreads/clean/dion_goodreads_library_export.csv
Rood in Wassenaar,Marjolein Moorman,3.0,3.91,2021,247,data/goodreads/clean/dion_goodreads_library_export.csv
Miniapolis,Rob van Essen,3.0,3.51,2021,224,data/goodreads/clean/dion_goodreads_library_export.csv
Willem die Madoc maakte,Nico Dros,4.0,3.72,2021,592,data/goodreads/clean/dion_goodreads_library_export.csv
