Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",4,4.13,Orbit,Kindle Edition,400,2008,1993,2020/01/12,2019/06/19,,,read,,,,1,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",4,3.95,"Little, Brown",Hardcover,771,2013,2013,2020/01/04,2019/11/08,,,read,,,,1,0
95887,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,"Tracy, Brian",,"=""1576754227""","=""9781576754221""",2,3.87,Berrett-Koehler Publishers,Paperback,128,2007,2001,2019/11/30,2019/07/30,,,read,,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,4.38,Atria Books,Hardcover,337,2014,2012,2019/11/17,2019/11/08,,,read,,,,1,0
18619684,The Time Traveler’s Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""""","=""9781939126016""",0,4.00,Zola Books,ebook,537,2013,2003,,2019/11/10,to-read,to-read (#127),to-read,,,,0,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,2019/11/08,2019/07/30,,,read,,,,1,0
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""0385542364""","=""9780385542364""",4,4.06,Doubleday,Hardcover,320,2016,2016,2019/09/12,2019/05/11,,,read,,,,1,0
35215524,The Monk of Mokha,Dave Eggers,"Eggers, Dave",,"=""""","=""""",4,4.08,Knopf,Kindle Edition,353,2018,2018,,2019/08/11,,,read,,,,1,0
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,"=""1592407331""","=""9781592407330""",4,4.29,Avery,Hardcover,287,2012,2012,2019/07/30,2019/06/19,,,read,,,,1,0
43465986,GRM: Brainfuck,Sibylle Berg,"Berg, Sibylle",,"=""3462051431""","=""9783462051438""",0,3.65,Kiepenheuer & Witsch,Hardcover,634,2019,2019,,2019/06/30,to-read,to-read (#126),to-read,,,,0,0
42176732,Drone State,Tom Hillenbrand,"Hillenbrand, Tom",Laura Caton,"=""3000605134""","=""9783000605130""",0,4.01,Tom Hillenbrand,Paperback,482,2018,2014,,2019/06/30,to-read,to-read (#125),to-read,,,,0,0
155449,"Ajax, the Dutch, the War : Football in Europe During the Second World War",Simon Kuper,"Kuper, Simon",,"=""0752842749""","=""9780752842745""",0,3.91,Orion (an Imprint of The Orion Publishing Group Ltd ),Paperback,256,2003,2003,,2019/05/19,to-read,to-read (#124),to-read,,,,0,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",4,4.42,Bantam,Paperback,1009,2002,1998,2019/06/19,2019/05/11,,,read,,,,1,0
29751398,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0670919985""","=""9780670919987""",4,3.76,Viking,Hardcover,341,2017,2016,,2019/06/13,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.36,Vintage,Paperback,512,2015,2011,2019/05/17,2019/05/11,,,read,,,,1,0
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""""","=""""",0,3.89,Signet Book,Mass Market Paperback,704,1996,1943,,2014/02/11,to-read,to-read (#123),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",4,3.70,Penguin Books ,Paperback,182,1999,1954,,2014/02/27,,,read,,,,1,0
56899,Aura,Carlos Fuentes,"Fuentes, Carlos",,"=""9580469717""","=""9789580469711""",0,3.82,Norma S A Editorial,Paperback,118,2008,1962,,2019/03/08,to-read,to-read (#122),to-read,,,,0,0
31434269,Here I Am,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0241146186""","=""9780241146187""",4,3.64,Hamish Hamilton,Paperback,571,2016,2016,,2016/09/27,,,read,,,,1,0
6601069,De kleine prins,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",,"=""9061005434""","=""9789061005438""",0,4.33,Donker ,Paperback,95,2005,1943,,2015/10/04,to-read,to-read (#61),to-read,,,,0,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",0,4.08,Ballantine Books,Mass Market Paperback,296,1987,1928,,2018/10/18,to-read,to-read (#121),to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2018/10/18,to-read,to-read (#120),to-read,,,,0,0
