index,date,title,author,blame,location,title_right,author_right,original_publication_year,average_goodreads_rating,number_of_pages,Robert,Peter,Thirsa,Koen_v_W,Koen_M,Thomas,average_bookclub_rating
39,2019-10-18,The Algebraist,Iain M. Banks,David,?,The Algebraist,Iain M. Banks,2004,4.03,,3.0,3.0,,,,,3.0
38,2019-09-04,Ivanov,Hanna Bervoets,Dion,?,Ivanov,Hanna Bervoets,2016,3.62,,2.0,3.0,3.0,3.0,,,2.75
37,2019-07-10,Catch-22,Joseph Heller,Robert,?,Catch-22,Joseph Heller,1961,3.99,,4.0,,4.0,,,,4.0
36,2019-05-22,Post Office,Charles Bukowski,Laurynas,?,Post Office,Charles Bukowski,1971,3.93,,3.0,4.0,,,,,3.5
31,2018-10-15,The Power,Naomi Alderman,Robert,De Doelen,The Power,Naomi Alderman,2016,3.7566666666666664,,5.0,,,4.0,,4.0,4.333333333333333
17,2017-01-18,The Windup Girl,Paolo Bacigalupi,Thirsa & Koen,De Doelen,The Windup Girl,Paolo Bacigalupi,2009,3.75,,3.0,1.0,3.0,2.0,,,2.25
35,2019-04-17,The Book of Illusions,Paul Auster,Thirsa & Koen,?,The Book of Illusions,Paul Auster,2002,3.9,,2.0,,,3.0,,3.0,2.6666666666666665
33,2019-01-09,Fight Club,Chuck Palahniuk,Marloes,?,Fight Club,Chuck Palahniuk,1996,4.18,,3.5,,4.0,4.0,,,3.8333333333333335
32,2018-11-30,The Gambler,Fyodor Dostoyevsky,Dion,?,The Gambler,Fyodor Dostoevsky,1866,3.91,,2.0,,,3.0,,,2.5
30,2018-09-11,The Left Hand of Darkness,Ursula K. Le Guin,Laurynas,?,The Left Hand of Darkness,Ursula K. Le Guin,1969,4.1,,4.0,,3.0,2.0,,4.0,3.25
27,2018-04-25,Het Slot,Franz Kafka,Dion,?,Het Slot,Franz Kafka,1926,3.93,,4.0,,,2.0,,,3.0
26,2018-02-19,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,Robert,De Doelen,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,1993,4.21,,3.0,,4.0,4.0,,,3.6666666666666665
25,2018-01-17,The Unbearable Lightness of Being,Milan Kundera,Iona,De Doelen,The Unbearable Lightness of Being,Milan Kundera,1984,4.11,,2.0,,,2.0,,5.0,3.0
24,2017-12-05,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,Laurynas,De Doelen,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,1958,3.7350000000000003,,4.0,,3.0,3.0,,5.0,3.75
23,2017-10-30,High-Rise,J.G. Ballard,Thirsa & Koen,De Doelen,High-Rise,J.G. Ballard,1975,3.61,,3.0,,4.0,4.0,,,3.6666666666666665
22,2017-09-08,Fear and Loathing in Las Vegas,Hunter S. Thompson,David,?,Fear and Loathing in Las Vegas,Hunter S. Thompson,1971,4.07,,3.0,,,3.0,,,3.0
20,2017-06-01,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller,Dion,De Doelen,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,1959,3.98,,2.0,,,,,,2.0
19,2017-05-02,Never Let Me Go,Kazuo Ishiguro,Iona,Thirsa - Keizersgracht 151D,Never Let Me Go,Kazuo Ishiguro,2005,3.85,,4.0,3.0,3.0,2.0,,4.0,3.2
9,2016-01-05,The Passion of New Eve,Angela Carter,David,De Doelen,The Passion of New Eve,Angela Carter,1977,3.6700000000000004,,4.0,3.0,4.0,1.0,,2.0,2.8
14,2016-09-06,Under the Skin,Michel Faber,Dion,?,Under the Skin,Michel Faber,2000,3.75,,3.0,,,2.0,,,2.5
11,2016-03-29,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,Jelmer,De Doelen,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,2006,4.08,,2.0,3.0,2.0,3.0,,,2.5
63,2023-07-07,Snow Crash,Neal Stephenson,Thomas,Thomas' casa?,Snow Crash,Neal Stephenson,1992,4.02,,3.0,3.0,3.0,2.0,,2.0,2.6
18,2017-03-14,Watchmen,Alan Moore & Dave Gibbons,Laurynas,?,Watchmen,Alan             Moore,1987,4.383333333333333,,4.0,,4.0,,,5.0,4.333333333333333
6,2015-07-23,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,,?,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,1989,4.27,,5.0,3.0,3.0,,,4.0,3.75
3,2015-01-27,Do Androids Dream of Electric Sheep?,Philip K. Dick,gezamenlijk,Laurynas - Jan Muschstraat 54,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,4.09,,3.0,3.0,4.0,3.0,,4.0,3.4
5,2015-06-08,Starship Troopers,Robert A. Heinlein,Dion,?,Starship Troopers,Robert A. Heinlein,1959,4.01,,4.0,3.0,3.0,3.0,,3.0,3.2
